id,longitude,latitude,address
1,-80.6625164,35.1694453,"11304 HAWTHORNE DRIVE, MINT HILL, NORTH CAROLINA 28227"
2,-74.0335303,40.3655843,"813 RIVER ROAD, FAIR HAVEN, NEW JERSEY 07704"
3,-93.5001634,41.6022147,"1300 METRO EAST DRIVE, PLEASANT HILL, IOWA 50327"
4,-118.180039,33.995412,"3030 SOUTH ATLANTIC BOULEVARD, VERNON, CALIFORNIA 90058"
5,-118.0251706,33.8928458,"15221 CANARY AVENUE, LA MIRADA, CALIFORNIA 90638"
6,-75.2699887,39.8077418,"480 SOUTH DEMOCRAT ROAD, GIBBSTOWN, NEW JERSEY 08027"
7,-81.2924627,41.7142128,"9620 DIAMOND CENTER DRIVE, MENTOR, OHIO 44060"
8,-83.663623,41.588185,"1570 SOUTH REYNOLDS ROAD, MAUMEE, OHIO 43537"
9,-88.447462158197,43.7614964055252,"605 SOUTH MAIN STREET, FOND DU LAC, WISCONSIN 54935"
10,-118.450254,34.024124,"2643 CENTINELA AVENUE, SANTA MONICA, CALIFORNIA 90405"
11,-79.82504,35.698608,"731 WEST KIVETT STREET, ASHEBORO, NORTH CAROLINA 27203"
12,-80.331733,25.837596,"8265 NORTHWEST 70 STREET, MIAMI, FLORIDA 33166"
13,-80.1941841,25.8042921,"35 NORTHEAST 29 STREET, MIAMI, FLORIDA 33137"
14,-73.9770641478851,40.635237838822,"640 EAST 2 STREET, BROOKLYN, NEW YORK 11218"
15,-91.2483858,43.8186173,"700 NORTH 3 STREET, LA CROSSE, WISCONSIN 54601"
16,-86.2696799,44.2730833,"1570 SOUTH US HIGHWAY 31, MANISTEE, MICHIGAN 49660"
17,-71.222296,42.497689,"85 TERRACE HALL AVENUE, BURLINGTON, MASSACHUSETTS 01803"
18,-117.128661,32.723835,"1714 GROVE STREET, SAN DIEGO, CALIFORNIA 92102"
19,-84.3351312576721,33.8250866062318,"1570 SHERIDAN ROAD NORTHEAST, ATLANTA, GEORGIA 30324"
20,-99.7485018,40.7946709,"2100 NORTH ADAMS, LEXINGTON, NEBRASKA 68850"
21,-72.7896825,41.695604,"643 FARMINGTON AVENUE, NEW BRITAIN, CONNECTICUT 06053"
22,-88.1539787,42.0657203,"3100 WEST HIGGINS ROAD, HOFFMAN ESTATES, ILLINOIS 60169"
